method,level,variant,cluster_size,log10_cluster_size
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,427.0,2.630427875025024
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,395.0,2.59659709562646
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,602.0,2.7795964912578244
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,880.0,2.9444826721501687
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,566.0,2.7528164311882715
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,832.0,2.920123326290724
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,585.0,2.7671558660821804
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,509.0,2.7067177823367587
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,636.0,2.803457115648414
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,186.0,2.2695129442179165
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,484.0,2.6848453616444123
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,1266.0,3.1024337056813365
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,904.0,2.9561684304753633
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,190.0,2.278753600952829
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,711.0,2.851869600729766
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,480.0,2.681241237375587
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,561.0,2.7489628612561616
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,435.0,2.6384892569546374
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,476.0,2.677606952720493
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,1801.0,3.2555137128195333
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,437.0,2.640481436970422
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,697.0,2.8432327780980096
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,400.0,2.6020599913279625
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,716.0,2.8549130223078554
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,296.0,2.4712917110589387
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,711.0,2.851869600729766
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,211.0,2.3242824552976926
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,601.0,2.7788744720027396
