method,K,n_users,llm_hit_ge2,llm_mrr_ge2,llm_ndcg,llm_relevant_rate_ge2,llm_mean_score,llm_has_3_ge2,llm_has_1_eq3,llm_selected3_mean_score
author_retriever,5,40,0.925,0.8279166666666666,0.8618862476014784,0.71,1.85,0.725,0.575,2.1833333333333336
author_retriever,10,40,0.975,0.8346130952380951,0.8435846668654003,0.6725,1.7325,0.875,0.625,2.425
graphsage_author_metacluster,5,40,0.875,0.8395833333333333,0.9115002627483616,0.7050000000000001,1.85,0.725,0.625,2.191666666666667
graphsage_author_metacluster,10,40,0.925,0.8459325396825396,0.8663022261332012,0.65,1.6825000000000003,0.775,0.7,2.3666666666666667
graphsage_transformer_author,5,40,0.925,0.8216666666666667,0.8986610572267754,0.7150000000000001,1.8599999999999999,0.75,0.65,2.2
graphsage_transformer_author,10,40,0.975,0.8275694444444444,0.8489548580692929,0.68,1.7449999999999999,0.875,0.75,2.4916666666666663
prop_appnp_s2_a0p1,5,40,0.875,0.7770833333333333,0.850205874462316,0.62,1.5799999999999998,0.55,0.6,1.9583333333333333
prop_appnp_s2_a0p1,10,40,0.9,0.7806547619047619,0.8253072519674234,0.5574999999999999,1.4425000000000001,0.775,0.675,2.2666666666666666
prop_lightgcn_l3_d1p0,5,40,0.875,0.7474999999999999,0.8271497491860673,0.63,1.6300000000000001,0.625,0.575,2.0083333333333337
prop_lightgcn_l3_d1p0,10,40,0.9,0.7516666666666667,0.8123976672506366,0.5900000000000001,1.525,0.75,0.7,2.2666666666666666
