method_left,method_right,n_users,n_common_candidates,mean_score_pearson,mean_rank_spearman,top5_overlap_rate,top5_jaccard,top10_overlap_rate,top10_jaccard,top20_overlap_rate,top20_jaccard
mean_author_embedding,author_retriever,1973,3569,0.8902986783293566,0.9296693423039181,0.7538773441459706,0.640200242962534,0.770704510897111,0.6469464930452975,0.7821084642676127,0.6551714317446785
mean_author_embedding,graphsage_author,1973,3569,0.7128326640189843,0.7434640710680376,0.3916877850988343,0.2776369882299938,0.4163710086163203,0.2892383148099247,0.4413076533198176,0.306029722841706
mean_author_embedding,graphsage_author_metacluster,1973,3569,0.748980669931908,0.7790226325363169,0.6286872782564622,0.5027574638573118,0.6567663456664978,0.5214540689489653,0.6669285352255448,0.5269941816849102
mean_author_embedding,graphsage_transformer_author,1973,3569,0.523010008304343,0.5316225791584603,0.3404967055245819,0.23414106308176252,0.3649265078560568,0.24389199681065565,0.38710086163203244,0.25659228983903465
mean_author_embedding,graphsage_transformer_author_metacluster,1973,3569,0.5976826855848455,0.617854903227695,0.45230613279270154,0.3269736683320058,0.4811961479979726,0.3426208392169141,0.4936644703497212,0.3475069178362209
author_retriever,graphsage_author,1973,3569,0.7752362453706341,0.8061027539610448,0.3950329447541815,0.28216035527236744,0.4234161175874303,0.29602245792682,0.45139381652306126,0.3151070927761789
author_retriever,graphsage_author_metacluster,1973,3569,0.8171615682440481,0.8137745070729214,0.7179929042067916,0.6072977256454195,0.7367967562088191,0.6162670902514048,0.7494931576279777,0.625139781019322
author_retriever,graphsage_transformer_author,1973,3569,0.5916109670895708,0.5631373292059363,0.3995945261023822,0.28302118279310373,0.4229599594526102,0.2912667866283159,0.4477698935631019,0.3072337359557629
author_retriever,graphsage_transformer_author_metacluster,1973,3569,0.6492657415006277,0.6365661825712466,0.5228585909782058,0.39141706691123823,0.5456664977192093,0.40248212967736124,0.5628737962493665,0.41267684498122786
graphsage_author,graphsage_author_metacluster,1973,3569,0.6734874987025989,0.6947640379356802,0.4363912823112012,0.31356044698670144,0.46989356310187536,0.33497210323843557,0.49624936644703493,0.3526277597295017
graphsage_author,graphsage_transformer_author,1973,3569,0.5313401877822885,0.5312852007396334,0.35357323872275725,0.24574413309841592,0.3848960973137354,0.26199498081436756,0.41006082108464265,0.2766360804481093
graphsage_author,graphsage_transformer_author_metacluster,1973,3569,0.5767481510804472,0.5778543283543949,0.41490116573745567,0.29596778735146706,0.44277749619868223,0.30940576377386625,0.46609224531170806,0.3238847377676409
graphsage_author_metacluster,graphsage_transformer_author,1973,3569,0.7377309903468263,0.6970636127460391,0.45017739483020786,0.3244434790304025,0.47987835783071464,0.3397679927629918,0.5086670045615813,0.35991116699541553
graphsage_author_metacluster,graphsage_transformer_author_metacluster,1973,3569,0.8262181840847634,0.7993885037005427,0.600202736948809,0.4663533093588846,0.6272174353775976,0.4826230515779363,0.6432843385707044,0.49327840127166905
graphsage_transformer_author,graphsage_transformer_author_metacluster,1973,3569,0.8996385449885943,0.880231790406139,0.606386213887481,0.4723750794455306,0.6414597060314242,0.4970213146714334,0.6696401419158642,0.5213087866108225
