split,method,K,hit,mrr,ndcg,n_examples,n_with_relevant,alpha,transformer,graph_method
val,fusion_author_retriever_graphsage_author_a0p00,10,0.026224641266699655,0.012987637740235465,0.014931132442330852,2021,280,0.0,author_retriever,graphsage_author
val,fusion_author_retriever_graphsage_author_a0p00,50,0.04849084611578427,0.014079433512094284,0.01987850549488979,2021,280,0.0,author_retriever,graphsage_author
val,fusion_author_retriever_graphsage_author_a0p00,100,0.05987135081642751,0.01424685847145565,0.021649643259575715,2021,280,0.0,author_retriever,graphsage_author
test,fusion_author_retriever_graphsage_author_a0p00,10,0.01824632539280284,0.00737133846611799,0.008658991183330375,1973,279,0.0,author_retriever,graphsage_author
test,fusion_author_retriever_graphsage_author_a0p00,50,0.046122655854029394,0.008654890566877372,0.014257454554046766,1973,279,0.0,author_retriever,graphsage_author
test,fusion_author_retriever_graphsage_author_a0p00,100,0.06588950836289914,0.008939067321837687,0.01738503341258776,1973,279,0.0,author_retriever,graphsage_author
val,fusion_author_retriever_graphsage_author_a0p05,10,0.027709054923305294,0.012775185944409101,0.015275324477873924,2021,280,0.05,author_retriever,graphsage_author
val,fusion_author_retriever_graphsage_author_a0p05,50,0.050470064324591786,0.013869474024629513,0.02030922860884691,2021,280,0.05,author_retriever,graphsage_author
val,fusion_author_retriever_graphsage_author_a0p05,100,0.05937654626422563,0.014000532166942683,0.0216921853507549,2021,280,0.05,author_retriever,graphsage_author
test,fusion_author_retriever_graphsage_author_a0p05,10,0.01926001013684744,0.007559393076372296,0.009070430923270456,1973,279,0.05,author_retriever,graphsage_author
test,fusion_author_retriever_graphsage_author_a0p05,50,0.0451089711099848,0.008792144871735887,0.014330051227006188,1973,279,0.05,author_retriever,graphsage_author
test,fusion_author_retriever_graphsage_author_a0p05,100,0.06538266599087683,0.009087864350314879,0.017404123615762494,1973,279,0.05,author_retriever,graphsage_author
val,fusion_author_retriever_graphsage_author_a0p10,10,0.028698664027709056,0.013296301532323303,0.015737560901792846,2021,280,0.1,author_retriever,graphsage_author
val,fusion_author_retriever_graphsage_author_a0p10,50,0.050470064324591786,0.014407011193927758,0.02077690667423637,2021,280,0.1,author_retriever,graphsage_author
val,fusion_author_retriever_graphsage_author_a0p10,100,0.058881741712023754,0.014528487614458052,0.022077066280675194,2021,280,0.1,author_retriever,graphsage_author
test,fusion_author_retriever_graphsage_author_a0p10,10,0.020780537252914344,0.008849226461998889,0.010194868688354506,1973,279,0.1,author_retriever,graphsage_author
test,fusion_author_retriever_graphsage_author_a0p10,50,0.0456158134820071,0.009993791559033455,0.015204928985274879,1973,279,0.1,author_retriever,graphsage_author
test,fusion_author_retriever_graphsage_author_a0p10,100,0.06588950836289914,0.010278778360500274,0.01826342402914507,1973,279,0.1,author_retriever,graphsage_author
val,fusion_author_retriever_graphsage_author_a0p15,10,0.028698664027709056,0.012719029554754444,0.015430830148188418,2021,280,0.15,author_retriever,graphsage_author
val,fusion_author_retriever_graphsage_author_a0p15,50,0.050470064324591786,0.013855386118486092,0.020468636500627465,2021,280,0.15,author_retriever,graphsage_author
val,fusion_author_retriever_graphsage_author_a0p15,100,0.05937654626422563,0.013976884515904817,0.02179703717131957,2021,280,0.15,author_retriever,graphsage_author
test,fusion_author_retriever_graphsage_author_a0p15,10,0.021287379624936646,0.008744036557011722,0.010161093354622248,1973,279,0.15,author_retriever,graphsage_author
test,fusion_author_retriever_graphsage_author_a0p15,50,0.046122655854029394,0.009870335385213752,0.015161505719835525,1973,279,0.15,author_retriever,graphsage_author
test,fusion_author_retriever_graphsage_author_a0p15,100,0.06538266599087683,0.010137571862531362,0.018108725810094182,1973,279,0.15,author_retriever,graphsage_author
val,fusion_author_retriever_graphsage_author_a0p20,10,0.029193468579910935,0.012938549987040833,0.015604426868701993,2021,280,0.2,author_retriever,graphsage_author
val,fusion_author_retriever_graphsage_author_a0p20,50,0.050470064324591786,0.014008151473571746,0.02054455601393509,2021,280,0.2,author_retriever,graphsage_author
val,fusion_author_retriever_graphsage_author_a0p20,100,0.05987135081642751,0.014133961929580954,0.02196917153689949,2021,280,0.2,author_retriever,graphsage_author
test,fusion_author_retriever_graphsage_author_a0p20,10,0.021794221996958945,0.009019380686892092,0.01043336836343115,1973,279,0.2,author_retriever,graphsage_author
test,fusion_author_retriever_graphsage_author_a0p20,50,0.0466294982260517,0.010112404914637899,0.015443290747741856,1973,279,0.2,author_retriever,graphsage_author
test,fusion_author_retriever_graphsage_author_a0p20,100,0.06487582361885454,0.01037466597450456,0.018244531287288833,1973,279,0.2,author_retriever,graphsage_author
val,fusion_author_retriever_graphsage_author_a0p25,10,0.028698664027709056,0.012702536069681048,0.015325742485816226,2021,280,0.25,author_retriever,graphsage_author
val,fusion_author_retriever_graphsage_author_a0p25,50,0.04948045522018803,0.01377543009465325,0.020136750304273882,2021,280,0.25,author_retriever,graphsage_author
val,fusion_author_retriever_graphsage_author_a0p25,100,0.06086095992083127,0.013935783156843318,0.02185796451579541,2021,280,0.25,author_retriever,graphsage_author
test,fusion_author_retriever_graphsage_author_a0p25,10,0.02280790674100355,0.00897110998479473,0.01064338758459644,1973,279,0.25,author_retriever,graphsage_author
test,fusion_author_retriever_graphsage_author_a0p25,50,0.0476431829700963,0.010020670534713226,0.015493232935147233,1973,279,0.25,author_retriever,graphsage_author
test,fusion_author_retriever_graphsage_author_a0p25,100,0.06487582361885454,0.010267697009844298,0.01818648973046211,1973,279,0.25,author_retriever,graphsage_author
