split,method,K,hit,mrr,ndcg,n_examples,n_with_relevant,family,layers,decay,teleport
val,prop_lightgcn_l1_d0p5,10,0.031172686788718457,0.014737125264092111,0.01733486174659876,2021,280,lightgcn,1,0.5,
val,prop_lightgcn_l1_d0p5,50,0.05492330529440871,0.015868746779037997,0.022565815875048575,2021,280,lightgcn,1,0.5,
val,prop_lightgcn_l1_d0p5,100,0.06432459178624443,0.015995968591247377,0.02406651117333042,2021,280,lightgcn,1,0.5,
test,prop_lightgcn_l1_d0p5,10,0.02331474911302585,0.009337766192809275,0.011048162453293145,1973,279,lightgcn,1,0.5,
test,prop_lightgcn_l1_d0p5,50,0.048656867714140906,0.010596636981394729,0.01622202698950817,1973,279,lightgcn,1,0.5,
test,prop_lightgcn_l1_d0p5,100,0.06487582361885454,0.010818079280754596,0.018661492980642902,1973,279,lightgcn,1,0.5,
val,prop_lightgcn_l1_d0p7,10,0.03166749134092034,0.015192659613738287,0.01768870982155996,2021,280,lightgcn,1,0.7,
val,prop_lightgcn_l1_d0p7,50,0.05492330529440871,0.01634707958080753,0.022887700119012214,2021,280,lightgcn,1,0.7,
val,prop_lightgcn_l1_d0p7,100,0.06580900544285008,0.016494175121804542,0.024613251955854287,2021,280,lightgcn,1,0.7,
test,prop_lightgcn_l1_d0p7,10,0.024328433857070453,0.009682499456954602,0.011567527151895194,1973,279,lightgcn,1,0.7,
test,prop_lightgcn_l1_d0p7,50,0.0481500253421186,0.01090892399077939,0.016462283591010752,1973,279,lightgcn,1,0.7,
test,prop_lightgcn_l1_d0p7,100,0.06639635073492144,0.01116385246874483,0.019382460675839677,1973,279,lightgcn,1,0.7,
val,prop_lightgcn_l1_d0p9,10,0.033151904997525974,0.015421604894638046,0.018150945609025023,2021,280,lightgcn,1,0.9,
val,prop_lightgcn_l1_d0p9,50,0.05541810984661059,0.016493017592942933,0.023069689625439985,2021,280,lightgcn,1,0.9,
val,prop_lightgcn_l1_d0p9,100,0.06630380999505195,0.016646781325322324,0.024769769963126846,2021,280,lightgcn,1,0.9,
test,prop_lightgcn_l1_d0p9,10,0.02483527622909275,0.010480373937038915,0.012064633977285726,1973,279,lightgcn,1,0.9,
test,prop_lightgcn_l1_d0p9,50,0.048656867714140906,0.011686227712721596,0.01699902205832785,1973,279,lightgcn,1,0.9,
test,prop_lightgcn_l1_d0p9,100,0.06690319310694375,0.011943950996132442,0.020105752720469088,1973,279,lightgcn,1,0.9,
val,prop_lightgcn_l1_d1p0,10,0.03414151410192974,0.015210527555901134,0.018170381307750456,2021,280,lightgcn,1,1.0,
val,prop_lightgcn_l1_d1p0,50,0.056407718951014346,0.016244000141976654,0.0230714204699233,2021,280,lightgcn,1,1.0,
val,prop_lightgcn_l1_d1p0,100,0.06580900544285008,0.01637626510465354,0.02452876707638122,2021,280,lightgcn,1,1.0,
test,prop_lightgcn_l1_d1p0,10,0.02483527622909275,0.010295537373591098,0.011901028856211087,1973,279,lightgcn,1,1.0,
test,prop_lightgcn_l1_d1p0,50,0.0481500253421186,0.011496871323184023,0.016800651732517213,1973,279,lightgcn,1,1.0,
test,prop_lightgcn_l1_d1p0,100,0.06588950836289914,0.01175942733707226,0.019823332601119178,1973,279,lightgcn,1,1.0,
val,prop_lightgcn_l2_d0p5,10,0.0326571004453241,0.014966659598030207,0.01774059741700191,2021,280,lightgcn,2,0.5,
val,prop_lightgcn_l2_d0p5,50,0.05442850074220683,0.016022124374582305,0.02258572931272038,2021,280,lightgcn,2,0.5,
val,prop_lightgcn_l2_d0p5,100,0.06580900544285008,0.016178427966507286,0.024354793878082603,2021,280,lightgcn,2,0.5,
test,prop_lightgcn_l2_d0p5,10,0.02382159148504815,0.010207443342263412,0.011823029450198523,1973,279,lightgcn,2,0.5,
test,prop_lightgcn_l2_d0p5,50,0.0491637100861632,0.011505952663889298,0.01699037171537057,1973,279,lightgcn,2,0.5,
test,prop_lightgcn_l2_d0p5,100,0.06690319310694375,0.011749597416995649,0.019858197278885888,1973,279,lightgcn,2,0.5,
val,prop_lightgcn_l2_d0p7,10,0.03364670954972786,0.015132968905853616,0.018137836434849456,2021,280,lightgcn,2,0.7,
val,prop_lightgcn_l2_d0p7,50,0.05492330529440871,0.016168334177668338,0.022809711359507264,2021,280,lightgcn,2,0.7,
val,prop_lightgcn_l2_d0p7,100,0.0653142008906482,0.0163217199329566,0.02442536901628271,2021,280,lightgcn,2,0.7,
test,prop_lightgcn_l2_d0p7,10,0.02483527622909275,0.010342199052285216,0.01205161614137637,1973,279,lightgcn,2,0.7,
test,prop_lightgcn_l2_d0p7,50,0.048656867714140906,0.011577306885857293,0.01700288038281124,1973,279,lightgcn,2,0.7,
test,prop_lightgcn_l2_d0p7,100,0.06791687785098834,0.011854061006770177,0.02028755136160661,1973,279,lightgcn,2,0.7,
val,prop_lightgcn_l2_d0p9,10,0.03364670954972786,0.015810183548926746,0.018552755470415374,2021,280,lightgcn,2,0.9,
val,prop_lightgcn_l2_d0p9,50,0.05591291439881247,0.0168374181891277,0.023316585187694493,2021,280,lightgcn,2,0.9,
val,prop_lightgcn_l2_d0p9,100,0.06580900544285008,0.016976119668829014,0.024930809365479804,2021,280,lightgcn,2,0.9,
test,prop_lightgcn_l2_d0p9,10,0.02382159148504815,0.010573093910650932,0.012108267789630112,1973,279,lightgcn,2,0.9,
test,prop_lightgcn_l2_d0p9,50,0.050177394830207805,0.011951666434018147,0.017440290566258926,1973,279,lightgcn,2,0.9,
test,prop_lightgcn_l2_d0p9,100,0.06943740496705525,0.012225374010522108,0.020879487524721255,1973,279,lightgcn,2,0.9,
val,prop_lightgcn_l2_d1p0,10,0.033151904997525974,0.016236265246656143,0.018725210553158806,2021,280,lightgcn,2,1.0,
val,prop_lightgcn_l2_d1p0,50,0.056407718951014346,0.017304343778949263,0.02364526233321439,2021,280,lightgcn,2,1.0,
val,prop_lightgcn_l2_d1p0,100,0.06580900544285008,0.017435982189884455,0.025171727283009024,2021,280,lightgcn,2,1.0,
test,prop_lightgcn_l2_d1p0,10,0.02483527622909275,0.010763159800159293,0.01237303129865224,1973,279,lightgcn,2,1.0,
test,prop_lightgcn_l2_d1p0,50,0.05068423720223011,0.012058487563247346,0.017450894582035224,1973,279,lightgcn,2,1.0,
test,prop_lightgcn_l2_d1p0,100,0.07146477445514444,0.012348676220427625,0.021190954548818752,1973,279,lightgcn,2,1.0,
val,prop_lightgcn_l3_d0p5,10,0.0326571004453241,0.014516623076741833,0.017444145779156317,2021,280,lightgcn,3,0.5,
val,prop_lightgcn_l3_d0p5,50,0.053933696190004946,0.015585270750946033,0.022279997005466748,2021,280,lightgcn,3,0.5,
val,prop_lightgcn_l3_d0p5,100,0.0653142008906482,0.015749844607030803,0.02406747736738543,2021,280,lightgcn,3,0.5,
test,prop_lightgcn_l3_d0p5,10,0.02382159148504815,0.010382826893217163,0.011906951409334036,1973,279,lightgcn,3,0.5,
test,prop_lightgcn_l3_d0p5,50,0.048656867714140906,0.0117066018896422,0.017064640811536153,1973,279,lightgcn,3,0.5,
test,prop_lightgcn_l3_d0p5,100,0.06842372022301065,0.011976794101235226,0.02028640344365028,1973,279,lightgcn,3,0.5,
val,prop_lightgcn_l3_d0p7,10,0.034636318654131616,0.01589402543138318,0.018678930234108625,2021,280,lightgcn,3,0.7,
val,prop_lightgcn_l3_d0p7,50,0.05541810984661059,0.016831595079417793,0.023197462699776614,2021,280,lightgcn,3,0.7,
val,prop_lightgcn_l3_d0p7,100,0.06580900544285008,0.01697811549087551,0.024862100096735316,2021,280,lightgcn,3,0.7,
test,prop_lightgcn_l3_d0p7,10,0.02483527622909275,0.01073540414645331,0.012522633275997392,1973,279,lightgcn,3,0.7,
