method,artifact,q_mode,split,K,hit,mrr,ndcg,n_examples,n_with_relevant,recall
transformer_author_no_cluster,transformer_author_no_cluster,none,val,10,0.028698664027709056,0.011983498660886091,0.014700022292452819,2021,280,0.025729836729244098
transformer_author_no_cluster,transformer_author_no_cluster,none,val,50,0.050470064324591786,0.012898917964424505,0.019325595923147962,2021,280,0.04642916050127153
transformer_author_no_cluster,transformer_author_no_cluster,none,val,100,0.06185056902523503,0.013070291835761765,0.02120746906992948,2021,280,0.05731486066445922
transformer_author_no_cluster,transformer_author_no_cluster,none,test,10,0.019766852508869743,0.0070927762894311295,0.00884367938066479,1973,279,0.017274877518128454
transformer_author_no_cluster,transformer_author_no_cluster,none,test,50,0.04409528636594019,0.008208818481932778,0.013550069240154805,1973,279,0.03742186182112
transformer_author_no_cluster,transformer_author_no_cluster,none,test,100,0.05828687278256462,0.008417570558442434,0.015705336237879418,1973,279,0.04983949993566638
transformer_author_metacluster,transformer_author_metacluster,metacluster,val,10,0.028698664027709056,0.012234827957242603,0.01477230628867308,2021,280,0.02539996703269162
transformer_author_metacluster,transformer_author_metacluster,metacluster,val,50,0.05195447798119743,0.013189388031974128,0.019803662547596884,2021,280,0.04824344385442965
transformer_author_metacluster,transformer_author_metacluster,metacluster,val,100,0.0653142008906482,0.013378236164012286,0.021931463650276654,2021,280,0.060778492529872385
transformer_author_metacluster,transformer_author_metacluster,metacluster,test,10,0.021794221996958945,0.007414983225931021,0.00943046240882729,1973,279,0.018626457171819565
transformer_author_metacluster,transformer_author_metacluster,metacluster,test,50,0.0451089711099848,0.008452301121774636,0.013917950332159432,1973,279,0.038182125379153456
transformer_author_metacluster,transformer_author_metacluster,metacluster,test,100,0.05778003041054232,0.00863758171282647,0.015916434044904375,1973,279,0.04950160502601987
transformer_author_fine_metacluster,transformer_author_fine_metacluster,fine_metacluster,val,10,0.029688273132112815,0.012670727205610926,0.015240568858728806,2021,280,0.02614217386099444
transformer_author_fine_metacluster,transformer_author_fine_metacluster,fine_metacluster,val,50,0.050470064324591786,0.013569818778114896,0.01988785369819284,2021,280,0.04692396505347341
transformer_author_fine_metacluster,transformer_author_fine_metacluster,fine_metacluster,val,100,0.06382978723404255,0.01375545422212749,0.02196952268683953,2021,280,0.059294078873266744
transformer_author_fine_metacluster,transformer_author_fine_metacluster,fine_metacluster,test,10,0.017739483020780537,0.006854238569899999,0.008127316863003758,1973,279,0.0149940868440281
transformer_author_fine_metacluster,transformer_author_fine_metacluster,fine_metacluster,test,50,0.044602128737962494,0.008210602462016303,0.0135715184426535,1973,279,0.0379287041931423
transformer_author_fine_metacluster,transformer_author_fine_metacluster,fine_metacluster,test,100,0.05879371515458692,0.008424293555798552,0.01570334893070359,1973,279,0.05009292112167753
