variant,K,mean_entropy_norm,size_p25,size_p50,size_p75,top5_concentration,noise_ratio
hdbscan_fine,979,0.01926888769864342,72.5,112.0,208.5,0.03225609247783922,0.6468032984785463
hdbscan_medium,242,0.031638148790954924,328.25,580.5,1228.25,0.25342216653168503,0.3577251411824979
hdbscan_coarse,132,0.03659171946295408,755.75,1235.5,2838.0,0.2623868862186619,0.3119362760012327
fcm_50,50,1.000000000457724,76.0,188.5,525.75,0.7076231937754724,0.0
fcm_100,100,0.9999999999825959,28.75,87.0,201.75,0.6491987773249351,0.0
fcm_200,200,1.0000000003102678,3.0,10.0,30.0,0.8822480548351241,0.0
gmm_50,50,0.049383292682708774,487.0,713.0,1078.75,0.25345035198221566,0.0
gmm_100,100,0.03243657645120182,270.5,395.0,522.25,0.13386902556502409,0.0
gmm_200,200,0.02001164937038597,147.25,203.0,267.0,0.0633567988143757,0.0
random_umap10_k50,50,0.0,10132.0,10187.0,10244.0,0.10151792041174057,0.0
random_umap10_k100,100,0.0,5042.75,5090.5,5146.5,0.05128305790396253,0.0
random_umap10_k200,200,0.0,2516.0,2546.5,2579.0,0.02612244257008089,0.0
random_umap10_k400,400,0.0,1253.0,1273.0,1294.0,0.013284993335911292,0.0
random_umap10_k600,600,0.0,830.0,848.0,866.0,0.009084360100265582,0.0
random_umap10_k800,800,0.0,619.0,636.0,653.25,0.0068976753224574885,0.0
random_umap10_k1000,1000,0.0,493.75,509.0,525.0,0.005604115835405842,0.0
kmeans_umap10_k50,50,0.0,6850.5,10375.0,13449.0,0.2021113089290937,0.0
kmeans_umap10_k100,100,0.0,3104.5,4984.0,6655.5,0.12242294095362226,0.0
kmeans_umap10_k200,200,0.0,1495.5,2351.0,3375.5,0.07482034441266706,0.0
kmeans_umap10_k400,400,0.0,665.0,1092.0,1653.25,0.046136300733933065,0.0
kmeans_umap10_k600,600,0.0,403.75,707.5,1113.25,0.033373442183387086,0.0
kmeans_umap10_k800,800,0.0,314.75,540.5,853.0,0.02519791067569345,0.0
kmeans_umap10_k1000,1000,0.0,255.0,428.5,670.25,0.02258723674886691,0.0
